Epoch	Bg_Error	Time
1	0.0163	293.23
2	0.0131	292.70
3	0.0118	292.49
4	0.0109	292.55
5	0.0104	292.59
6	0.0099	292.46
7	0.0095	292.85
8	0.0091	292.46
Study statistics: 
Number of finished trials:  50
Number of pruned trials:  24
Number of complete trials:  26
Best trial:
Value:  0.007302194833755493
Params: 
optimizer: Adam
lr: 0.00017157879282447955
beta_1: 0.8178017179262261
beta_2: 0.9886582276361054
eps: 2.307354314546036e-08
