,Polymer,Solvent,Group,True Bg,Pred Bg,True Bth,Pred Bth,Nw,phi_star,phi_star_star,l,b,v,phi_x,len_y
67,cellulose,1-allyl-3-methylimidazolium chloride,0,0.4,0.4321662187576294,0.0,0.286880224943161,220.0,0.0013102118428953036,0.006773333366151417,0.54,6.56133987031392,0.6501278032422477,0.19343678689179317,0.33979633117248126
68,cellulose,1-ethyl-3-methylimidazolium methylphosphonate,0,0.45,0.45394885540008545,0.0,0.3096538186073303,741.0,0.0006004538935466432,0.009194026689736049,0.54,5.631717737123654,0.6034325697063604,0.0653091310053486,0.3674517733965511
69,cellulose,1-ethyl-3-methylimidazolium acetate,0,0.0,0.7653443813323975,0.45,0.46319514513015747,741.0,0.0036507567122871054,0.046031591994864875,0.54,2.5168988495528097,0.09135347700747669,0.07930980776624826,0.12447203783651743
70,cellulose,1-butyl-3-methylimidazolium chloride,0,0.59,0.5829716920852661,0.0,0.3912019729614258,741.0,0.001271748662506332,0.023420930516291988,0.54,3.5285127169873145,0.27266126923685785,0.054299664209399474,0.2649990062771878
71,cellulose,1-butyl-3-methylimidazolium acetate,0,0.58,0.5970863103866577,0.34,0.3661714792251587,780.0,0.0013138659744988534,0.01797786263980913,0.54,4.02739967689823,0.19933284930146858,0.07308243481566631,0.16973313162614392
72,cellulose,1-butyl-3-methylimidazolium acetate,0,0.58,0.6026083827018738,0.34,0.3663279414176941,780.0,0.0013506574850620525,0.018008609536777073,0.54,4.023960129193001,0.1893913830137024,0.07500065356538205,0.16140575917769281
73,cellulose,1-butyl-3-methylimidazolium acetate,0,0.0,0.6131633520126343,0.35,0.35557103157043457,780.0,0.0016096513336332605,0.015984736692878355,0.54,4.271112555525007,0.15841668662560793,0.10069927109593271,0.12719568820730487
74,cellulose,1-butyl-3-methylimidazolium acetate,0,0.0,0.6198880076408386,0.35,0.36831286549568176,780.0,0.001788971273392721,0.0184021072562291,0.54,3.9807048780030057,0.16364106092939557,0.09721556604813046,0.14097587078650475
75,cellulose,1-butyl-3-methylimidazolium acetate,0,0.0,0.6430536508560181,0.36,0.37981224060058594,780.0,0.0019618218620890164,0.020810179598593645,0.54,3.7433104414286085,0.14426672171392005,0.09427222157283047,0.1321669286459866
76,poly(methyl methacrylate),1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,0,0.92,0.9135341644287109,0.47,0.5170572996139526,9950.0,0.0006727249694447307,0.07147508735771242,0.255,0.9538121119775359,0.004726481135813867,0.009412020248089159,0.07620697713197484
77,poly(methyl methacrylate),1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,0,0.86,0.9929509162902832,0.44,0.5279309749603271,9950.0,0.0008638662539033116,0.07767988524692399,0.255,0.9149258386046281,0.00311228007139663,0.01112084873912091,0.052313336305514845
78,poly(acrylonitrile-co-itaconic-acid),1-butyl-3-methylimidazolium chloride,0,0.71,0.6873329281806946,0.0,0.4924478828907013,1532.0,0.001196640656121817,0.05880863494549438,0.255,1.051525069150392,0.020882061906825542,0.020348043399254202,0.3054030619954573
